Designator,Mid X,Mid Y,Rotation,Layer
LED40,263.081195,-125.196255,270.0,bottom
LED41,263.081195,-132.340255,270.0,bottom
LED42,263.081195,-139.484255,270.0,bottom
LED43,263.081195,-146.628255,270.0,bottom
LED5,63.056195,-142.658255,180.0,bottom
LED6,63.056195,-136.308255,180.0,bottom
LED7,63.056195,-129.958255,180.0,bottom
LED8,70.303195,-129.958255,180.0,bottom
LED9,77.550195,-129.958255,180.0,bottom
MX1,46.387445,-79.952005,180.0,bottom
MX10,217.837445,-79.952005,180.0,bottom
MX11,236.887445,-79.952005,180.0,bottom
MX12,255.937445,-79.952005,180.0,bottom
MX13,46.387445,-99.002005,180.0,bottom
MX14,65.437445,-99.002005,180.0,bottom
MX15,84.487445,-99.002005,180.0,bottom
MX16,103.537445,-99.002005,180.0,bottom
MX17,122.587445,-99.002005,180.0,bottom
MX18,141.637445,-99.002005,180.0,bottom
MX19,160.687445,-99.002005,180.0,bottom
MX2,65.437445,-79.952005,180.0,bottom
MX20,179.737445,-99.002005,180.0,bottom
MX21,198.787445,-99.002005,180.0,bottom
MX22,217.837445,-99.002005,180.0,bottom
MX23,236.887445,-99.002005,180.0,bottom
MX24,255.937445,-99.002005,180.0,bottom
MX25,46.387445,-118.052005,180.0,bottom
MX26,65.437445,-118.052005,180.0,bottom
MX27,84.487445,-118.052005,180.0,bottom
MX28,103.537445,-118.052005,180.0,bottom
MX29,122.587445,-118.052005,180.0,bottom
MX3,84.487445,-79.952005,180.0,bottom
MX30,141.637445,-118.052005,180.0,bottom
MX31,160.687445,-118.052005,180.0,bottom
MX32,179.737445,-118.052005,180.0,bottom
MX33,198.787445,-118.052005,180.0,bottom
MX34,217.837445,-118.052005,180.0,bottom
MX35,248.793695,-132.339505,180.0,bottom
MX36,48.768695,-137.102005,180.0,bottom
MX37,74.962445,-141.864505,0.0,bottom
MX38,94.012445,-141.864505,180.0,bottom
MX39,129.731195,-141.864505,180.0,bottom
MX4,103.537445,-79.952005,180.0,bottom
MX40,177.356195,-141.864505,180.0,bottom
MX41,208.312445,-141.864505,180.0,bottom
MX42,227.362445,-141.864505,0.0,bottom
MX43,151.162445,-141.864505,180.0,bottom
MX5,122.587445,-79.952005,180.0,bottom
MX6,141.637445,-79.952005,180.0,bottom
MX7,160.687445,-79.952005,180.0,bottom
MX8,179.737445,-79.952005,180.0,bottom
MX9,198.787445,-79.952005,180.0,bottom
R1,140.367449,-91.152,90.0,bottom
R2,149.817445,-79.952005,0.0,bottom
R3,153.412447,-79.839505,270.0,bottom
SW1,145.149945,-92.539506,180.0,bottom
SW2,227.612445,-141.864505,180.0,top
U1,150.162445,-111.152005,90.0,bottom
U3,154.596196,-92.437002,90.0,bottom
U4,151.162445,-87.427005,90.0,bottom
